epoch,loss
1,7.691459362777897
2,7.054145190936525
3,6.891410355709235
4,6.810875334772416
5,6.760750857665673
6,6.724126402105934
7,6.6968400499119385
8,6.675253060561378
9,6.655707740312682
10,6.641217656297618
11,6.628591524023876
12,6.616991289612358
13,6.608863624320165
14,6.600046643176191
15,6.593083984664631
16,6.586323173645252
17,6.580276659938852
18,6.57541723473276
19,6.569934696163661
20,6.566296788529697
21,6.560786901158183
22,6.557680027221049
23,6.554144950721724
24,6.5507475660012116
25,6.54797528489798
26,6.544021919586741
27,6.540380271539284
28,6.538574011426025
29,6.536652621164326
30,6.533098616233607
31,6.530278754757214
32,6.528545783828616
33,6.525199298620743
34,6.5241154086025
