epoch,loss
1,8.634069343673987
2,8.070209839470271
3,7.779290132782333
4,7.705198038045183
5,7.611885374048027
6,7.533851502657082
7,7.390158564196951
8,7.310010842520946
9,7.261739748357203
10,7.21930420699819
11,7.173531064120866
12,7.13227670390796
13,7.097536477604365
14,7.063140085609817
15,7.031735692928277
16,7.002439855948789
17,6.976998658747624
18,6.9532735241090675
19,6.9305249264671245
20,6.908803888522338
21,6.889457363002705
22,6.871501811850891
23,6.85636575705963
24,6.842670337209162
25,6.829357305352309
26,6.819683019591046
27,6.8088444294685715
28,6.8005306916634485
29,6.791873479462657
30,6.785943750375956
31,6.779945945239111
32,6.773104251483121
33,6.768406456661746
34,6.763007331823185
35,6.7592972765880175
36,6.755588935884266
37,6.752013632493707
38,6.75009362453088
39,6.7462295663480125
40,6.744776008808243
41,6.743213180173699
42,6.741445278729597
43,6.7391505061818275
44,6.739670273340554
45,6.738207689379311
46,6.737983082643893
47,6.738424337788174
48,6.737332705455949
49,6.737240658507286
50,6.737288974039597
