epoch,loss
1,7.832773389356628
2,7.084045730650918
3,6.896650589232028
4,6.760063497310978
5,6.626011732717587
6,6.510616602233449
7,6.431985903820109
8,6.366167589647873
9,6.313795068003313
10,6.2716971944673
11,6.237168299949145
12,6.204872820459538
13,6.178150209133236
14,6.152233911962632
15,6.130792138729355
16,6.107936715507002
17,6.088758598714997
18,6.062708353442161
19,6.038145598820788
20,6.013939763543536
21,5.993005361186604
22,5.975406028796351
23,5.960599754403709
24,5.947212084614158
25,5.9349935203163104
26,5.926661958785199
27,5.9143774972432785
28,5.90843136116079
29,5.90050217008613
30,5.894961442948875
31,5.887054428335025
32,5.880505798573688
33,5.873138741609403
34,5.86957445763478
35,5.866488216113345
36,5.863410563685373
37,5.859239117773066
38,5.855767786995592
39,5.851757436995387
40,5.84793651793829
41,5.846563305093911
42,5.844342154843669
43,5.841652928044282
44,5.840539866277719
45,5.838465426050358
46,5.837052776519342
47,5.837873728705576
48,5.8388892322374275
49,5.840594051818062
50,5.837791737482228
