epoch,loss
1,7.7330293479084755
2,7.084874937103351
3,6.926811486283092
4,6.84506820460608
5,6.792998379494312
6,6.7560861248906185
7,6.730121764226868
8,6.709655407936342
9,6.6938991966366554
10,6.680816333756821
11,6.670131848123983
12,6.659220099666825
13,6.651333957457063
14,6.643259230976198
15,6.637971997514993
16,6.63165199252359
17,6.626712063791109
18,6.6207584919758276
19,6.617185278774686
20,6.612922765101446
21,6.607796127449356
22,6.605839088822166
23,6.600788250937378
24,6.597555418857626
25,6.594419584249623
26,6.592051913552508
27,6.588542900249426
28,6.585917620127765
29,6.583206846267076
30,6.581328961556087
31,6.578908848856835
32,6.575213482049058
33,6.574226191765059
34,6.572008727783846
35,6.5702401898434015
36,6.567377708194754
37,6.566461820212067
38,6.564490746849568
39,6.562818992667567
40,6.5621115560946635
41,6.560622520948864
42,6.559380321370634
