epoch,step,loss
1,0,11.40199089050293
1,1,11.406184196472168
1,2,11.405869483947754
1,3,11.406874656677246
1,4,11.405768394470215
1,5,11.40749454498291
1,6,11.408388137817383
1,7,11.407417297363281
1,8,11.418736457824707
1,9,11.412005424499512
1,10,11.40981674194336
1,11,11.38674545288086
1,12,11.40541934967041
1,13,11.397125244140625
1,14,11.406230926513672
1,15,11.412079811096191
1,16,11.410048484802246
1,17,11.390045166015625
1,18,11.400105476379395
1,19,11.39650821685791
1,20,11.3974027633667
1,21,11.405800819396973
1,22,11.405369758605957
1,23,11.40137767791748
1,24,11.401420593261719
1,25,11.397079467773438
1,26,11.387213706970215
1,27,11.389455795288086
1,28,11.411312103271484
1,29,11.38514232635498
1,30,11.394067764282227
1,31,11.399742126464844
1,32,11.395697593688965
1,33,11.373671531677246
1,34,11.39915657043457
1,35,11.38729476928711
1,36,11.38618278503418
1,37,11.378824234008789
1,38,11.381299018859863
1,39,11.38503360748291
1,40,11.384194374084473
1,41,11.394014358520508
1,42,11.380260467529297
1,43,11.391641616821289
1,44,11.379470825195312
1,45,11.392115592956543
1,46,11.3878173828125
1,47,11.378243446350098
1,48,11.396129608154297
1,49,11.37731647491455
1,50,11.379341125488281
1,51,11.379384994506836
1,52,11.376299858093262
1,53,11.374664306640625
1,54,11.38747501373291
1,55,11.372395515441895
1,56,11.37881851196289
1,57,11.382274627685547
1,58,11.385148048400879
1,59,11.383772850036621
1,60,11.367985725402832
1,61,11.370247840881348
1,62,11.38037395477295
1,63,11.379150390625
1,64,11.380253791809082
1,65,11.382453918457031
1,66,11.378595352172852
1,67,11.371147155761719
1,68,11.365135192871094
1,69,11.378143310546875
1,70,11.3706693649292
1,71,11.365177154541016
1,72,11.37281608581543
1,73,11.358993530273438
1,74,11.366023063659668
1,75,11.362786293029785
1,76,11.371500968933105
1,77,11.362955093383789
1,78,11.362884521484375
1,79,11.356229782104492
1,80,11.363387107849121
1,81,11.363848686218262
1,82,11.3599853515625
1,83,11.360960006713867
1,84,11.363663673400879
1,85,11.367620468139648
1,86,11.3649263381958
1,87,11.36430835723877
1,88,11.365509033203125
1,89,11.358437538146973
1,90,11.357094764709473
1,91,11.35060977935791
1,92,11.352096557617188
1,93,11.362895965576172
1,94,11.358294486999512
1,95,11.358160018920898
1,96,11.353026390075684
1,97,11.354479789733887
1,98,11.362655639648438
1,99,11.35601806640625
1,100,11.34276294708252
1,101,11.353409767150879
1,102,11.36307144165039
1,103,11.354915618896484
1,104,11.347892761230469
1,105,11.366011619567871
1,106,11.36543083190918
1,107,11.343100547790527
1,108,11.350648880004883
1,109,11.339414596557617
1,110,11.35779094696045
1,111,11.343994140625
1,112,11.344771385192871
1,113,11.33826732635498
1,114,11.352807998657227
1,115,11.35112476348877
1,116,11.337265014648438
1,117,11.34781551361084
1,118,11.3314847946167
1,119,11.335261344909668
1,120,11.332816123962402
1,121,11.333405494689941
1,122,11.329286575317383
1,123,11.324915885925293
1,124,11.343178749084473
1,125,11.328619956970215
1,126,11.350834846496582
1,127,11.328926086425781
1,128,11.33607292175293
1,129,11.338144302368164
1,130,11.338356971740723
1,131,11.340457916259766
1,132,11.334467887878418
1,133,11.32862377166748
1,134,11.344062805175781
1,135,11.337244033813477
1,136,11.33534049987793
1,137,11.320240020751953
1,138,11.328580856323242
1,139,11.315765380859375
1,140,11.323533058166504
1,141,11.346183776855469
1,142,11.331685066223145
1,143,11.339534759521484
1,144,11.31768798828125
1,145,11.321589469909668
1,146,11.302309036254883
1,147,11.327605247497559
1,148,11.319676399230957
1,149,11.332611083984375
1,150,11.307503700256348
1,151,11.320741653442383
1,152,11.310537338256836
1,153,11.33555793762207
1,154,11.317827224731445
1,155,11.332418441772461
1,156,11.315515518188477
1,157,11.315860748291016
1,158,11.318182945251465
1,159,11.317317962646484
1,160,11.308209419250488
1,161,11.310193061828613
1,162,11.299744606018066
1,163,11.322300910949707
1,164,11.303312301635742
1,165,11.321917533874512
1,166,11.315579414367676
1,167,11.309932708740234
1,168,11.297223091125488
1,169,11.2758207321167
1,170,11.309000015258789
1,171,11.309356689453125
1,172,11.301055908203125
1,173,11.30012035369873
1,174,11.297863006591797
1,175,11.311941146850586
1,176,11.299057960510254
1,177,11.297127723693848
1,178,11.306235313415527
1,179,11.292372703552246
1,180,11.297050476074219
1,181,11.323015213012695
1,182,11.271571159362793
1,183,11.29914665222168
1,184,11.291240692138672
1,185,11.281057357788086
1,186,11.285950660705566
1,187,11.284781455993652
1,188,11.297979354858398
1,189,11.296147346496582
1,190,11.277406692504883
1,191,11.276630401611328
1,192,11.269164085388184
1,193,11.264187812805176
1,194,11.260754585266113
1,195,11.280423164367676
1,196,11.273093223571777
1,197,11.272797584533691
1,198,11.286430358886719
1,199,11.28653621673584
1,200,11.289538383483887
1,201,11.268367767333984
1,202,11.287480354309082
1,203,11.291191101074219
1,204,11.280379295349121
1,205,11.255712509155273
1,206,11.275012969970703
1,207,11.278379440307617
1,208,11.266398429870605
1,209,11.270549774169922
1,210,11.263617515563965
1,211,11.256857872009277
1,212,11.274587631225586
1,213,11.266000747680664
1,214,11.262713432312012
1,215,11.27780818939209
1,216,11.248400688171387
1,217,11.272345542907715
1,218,11.255149841308594
1,219,11.286957740783691
1,220,11.26201057434082
1,221,11.295882225036621
1,222,11.224743843078613
1,223,11.24242115020752
1,224,11.231103897094727
1,225,11.26247787475586
1,226,11.272662162780762
1,227,11.260419845581055
1,228,11.237957954406738
1,229,11.251578330993652
1,230,11.251936912536621
1,231,11.256240844726562
1,232,11.224079132080078
1,233,11.223444938659668
1,234,11.247185707092285
1,235,11.243457794189453
1,236,11.222997665405273
1,237,11.235611915588379
1,238,11.221960067749023
1,239,11.267601013183594
1,240,11.215045928955078
1,241,11.242717742919922
1,242,11.24742603302002
1,243,11.245238304138184
1,244,11.221360206604004
1,245,11.24255657196045
1,246,11.234770774841309
1,247,11.23741340637207
1,248,11.22773265838623
1,249,11.237211227416992
1,250,11.23114013671875
1,251,11.21378231048584
1,252,11.22839069366455
1,253,11.207585334777832
1,254,11.233470916748047
1,255,11.214731216430664
1,256,11.225598335266113
1,257,11.196089744567871
1,258,11.250672340393066
1,259,11.223405838012695
1,260,11.218413352966309
1,261,11.214742660522461
1,262,11.210824012756348
1,263,11.224892616271973
1,264,11.21345043182373
1,265,11.208189010620117
1,266,11.196974754333496
1,267,11.197410583496094
1,268,11.233342170715332
1,269,11.191564559936523
1,270,11.185393333435059
1,271,11.204813003540039
1,272,11.209012985229492
1,273,11.217057228088379
1,274,11.17574691772461
1,275,11.20798110961914
1,276,11.193157196044922
1,277,11.189170837402344
1,278,11.197341918945312
1,279,11.221606254577637
1,280,11.173906326293945
1,281,11.222043991088867
1,282,11.18480396270752
1,283,11.1876220703125
1,284,11.18979549407959
1,285,11.195762634277344
1,286,11.193458557128906
1,287,11.191304206848145
1,288,11.17171573638916
1,289,11.196834564208984
1,290,11.214588165283203
1,291,11.204438209533691
1,292,11.175201416015625
1,293,11.205770492553711
1,294,11.168157577514648
1,295,11.166089057922363
1,296,11.15700912475586
1,297,11.187792778015137
1,298,11.182353973388672
1,299,11.170180320739746
1,300,11.19937801361084
1,301,11.177309036254883
1,302,11.170482635498047
1,303,11.171250343322754
1,304,11.175697326660156
1,305,11.185650825500488
1,306,11.170022010803223
1,307,11.185304641723633
1,308,11.173452377319336
1,309,11.170270919799805
1,310,11.173890113830566
1,311,11.184415817260742
1,312,11.20279598236084
1,313,11.14763355255127
1,314,11.152817726135254
1,315,11.150309562683105
1,316,11.19690990447998
1,317,11.138141632080078
1,318,11.169480323791504
1,319,11.158669471740723
1,320,11.16627311706543
1,321,11.11375904083252
1,322,11.191850662231445
1,323,11.176259994506836
1,324,11.157774925231934
1,325,11.16676139831543
1,326,11.139841079711914
1,327,11.133220672607422
1,328,11.132247924804688
1,329,11.135689735412598
1,330,11.13273811340332
1,331,11.14954662322998
1,332,11.137813568115234
1,333,11.154070854187012
1,334,11.126726150512695
1,335,11.161298751831055
1,336,11.141549110412598
1,337,11.111823081970215
1,338,11.136890411376953
1,339,11.117812156677246
1,340,11.111967086791992
1,341,11.096797943115234
1,342,11.105504035949707
1,343,11.145484924316406
1,344,11.10852336883545
1,345,11.166512489318848
1,346,11.16795539855957
1,347,11.115610122680664
1,348,11.101357460021973
1,349,11.09697151184082
1,350,11.101471900939941
1,351,11.125588417053223
1,352,11.107915878295898
1,353,11.109925270080566
1,354,11.121649742126465
1,355,11.12657356262207
1,356,11.100801467895508
1,357,11.098356246948242
1,358,11.116822242736816
1,359,11.103461265563965
1,360,11.093080520629883
1,361,11.116955757141113
1,362,11.102417945861816
1,363,11.101997375488281
1,364,11.129400253295898
1,365,11.103828430175781
1,366,11.124580383300781
1,367,11.116677284240723
1,368,11.091565132141113
1,369,11.108707427978516
1,370,11.097572326660156
1,371,11.084562301635742
1,372,11.075946807861328
1,373,11.080472946166992
1,374,11.109626770019531
1,375,11.123848915100098
1,376,11.1139554977417
1,377,11.077018737792969
1,378,11.106097221374512
1,379,11.100394248962402
1,380,11.072454452514648
1,381,11.07582950592041
1,382,11.077347755432129
1,383,11.141066551208496
1,384,11.089653015136719
1,385,11.06898307800293
1,386,11.112772941589355
1,387,11.100972175598145
1,388,11.06437873840332
1,389,11.07297420501709
1,390,11.063705444335938
1,391,11.05533218383789
1,392,11.07032299041748
1,393,11.044981002807617
1,394,11.07737922668457
1,395,11.057042121887207
1,396,11.097921371459961
1,397,11.059667587280273
1,398,11.043939590454102
1,399,11.056897163391113
1,400,11.058860778808594
1,401,11.040485382080078
1,402,11.07972526550293
1,403,11.070573806762695
1,404,11.068618774414062
1,405,11.047307014465332
1,406,11.074739456176758
1,407,11.111048698425293
1,408,11.089560508728027
1,409,11.045220375061035
1,410,11.075879096984863
1,411,11.075923919677734
1,412,11.080534934997559
1,413,11.07279109954834
1,414,11.074443817138672
1,415,11.064777374267578
1,416,11.06552791595459
1,417,11.017268180847168
1,418,11.090373992919922
1,419,11.03504467010498
1,420,11.048038482666016
1,421,11.020427703857422
1,422,11.066521644592285
1,423,11.027270317077637
1,424,11.02842903137207
1,425,11.048331260681152
1,426,11.077383995056152
1,427,11.066590309143066
1,428,11.029528617858887
1,429,11.066027641296387
1,430,11.0460844039917
1,431,11.010019302368164
1,432,11.032707214355469
